date,hpi,numsold (k),fed funds rate
1/1/1991,100,30,6.91
2/1/1991,100.48,40,6.25
3/1/1991,100.74,51,6.12
4/1/1991,100.75,50,5.91
5/1/1991,100.92,47,5.78
6/1/1991,101.4,47,5.9
7/1/1991,101.36,43,5.82
8/1/1991,101.31,46,5.66
9/1/1991,101.41,37,5.45
10/1/1991,101.62,41,5.21
11/1/1991,102.16,39,4.81
12/1/1991,102.21,36,4.43
1/1/1992,102.31,48,4.03
2/1/1992,102.97,55,4.06
3/1/1992,103.11,56,3.98
4/1/1992,102.99,53,3.73
5/1/1992,103.17,52,3.82
6/1/1992,103.53,53,3.76
7/1/1992,103.8,52,3.25
8/1/1992,104.36,56,3.3
9/1/1992,104.62,51,3.22
10/1/1992,104.81,48,3.1
11/1/1992,105.07,42,3.09
12/1/1992,104.67,42,2.92
1/1/1993,104.43,44,3.02
2/1/1993,104.1,50,3.03
3/1/1993,104.72,60,3.07
4/1/1993,105.61,66,2.96
5/1/1993,105.93,58,3
6/1/1993,106.73,59,3.04
7/1/1993,106.75,55,3.06
8/1/1993,107.2,57,3.03
9/1/1993,107.41,57,3.09
10/1/1993,107.54,56,2.99
11/1/1993,107.75,53,3.02
12/1/1993,107.92,51,2.96
1/1/1994,107.92,46,3.05
2/1/1994,108.03,58,3.25
3/1/1994,108.75,74,3.34
4/1/1994,109.34,65,3.56
5/1/1994,109.88,65,4.01
6/1/1994,110.5,55,4.25
7/1/1994,110.62,52,4.26
8/1/1994,110.97,59,4.47
9/1/1994,110.83,54,4.73
10/1/1994,110.91,57,4.76
11/1/1994,111.04,45,5.29
12/1/1994,110.7,40,5.45
1/1/1995,110.77,47,5.53
2/1/1995,111.19,47,5.92
3/1/1995,111.49,60,5.98
4/1/1995,111.95,58,6.05
5/1/1995,112.32,63,6.01
6/1/1995,113.12,64,6
7/1/1995,113.63,64,5.85
8/1/1995,113.97,63,5.74
9/1/1995,113.9,54,5.8
10/1/1995,113.82,54,5.76
11/1/1995,113.84,46,5.8
12/1/1995,113.96,45,5.6
1/1/1996,114.1,54,5.56
2/1/1996,114.28,68,5.22
3/1/1996,115.03,70,5.31
4/1/1996,115.66,70,5.22
5/1/1996,116.27,69,5.24
6/1/1996,116.74,65,5.27
7/1/1996,117.15,66,5.4
8/1/1996,117.13,73,5.22
9/1/1996,117.17,62,5.3
10/1/1996,116.97,56,5.24
11/1/1996,117.13,54,5.31
12/1/1996,117.14,51,5.29
1/1/1997,116.98,61,5.25
2/1/1997,117.27,69,5.19
3/1/1997,118.22,81,5.39
4/1/1997,118.75,70,5.51
5/1/1997,119.56,71,5.5
6/1/1997,120,71,5.56
7/1/1997,120.3,69,5.52
8/1/1997,120.7,72,5.54
9/1/1997,120.47,67,5.54
10/1/1997,120.88,62,5.5
11/1/1997,121.04,61,5.52
12/1/1997,121.1,51,5.5
1/1/1998,121.22,64,5.56
2/1/1998,122.13,75,5.51
3/1/1998,123,81,5.49
4/1/1998,123.89,82,5.45
5/1/1998,124.81,82,5.49
6/1/1998,126,83,5.56
7/1/1998,126.25,75,5.54
8/1/1998,126.78,75,5.55
9/1/1998,127.21,68,5.51
10/1/1998,127.53,69,5.07
11/1/1998,128.03,70,4.83
12/1/1998,128.23,61,4.68
1/1/1999,128.76,67,4.63
2/1/1999,129.28,76,4.76
3/1/1999,130.31,84,4.81
4/1/1999,131.3,86,4.74
5/1/1999,132.55,80,4.74
6/1/1999,133.59,82,4.76
7/1/1999,134.24,78,4.99
8/1/1999,135.02,78,5.07
9/1/1999,135.09,65,5.22
